,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Cocoa Level,Number_of_Ingredients,Ingredient Level,Rating,Rating Level,Ingredients_abbr,Most Memorable Characteristics
382,Park 75,U.S.A.,2014,Blend,South America,0.65,Mid percent,3,3,3.5,Mid-level,"B,S,V","mild nutty, basic cocoa"
383,Garden Island,U.S.A.,2014,U.S.A.,"Kaua'i Island, Alea Estate +world",0.85,High percent,3,3,2.5,Mid-level,"B,S,V","gritty, ambiguous"
384,Maverick,U.S.A.,2014,Belize,Maya Mountain,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","heavy roast, smoke"
385,Maverick,U.S.A.,2014,Dominican Republic,Elvesia,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","roasty, coffee"
386,Somerville,U.S.A.,2014,Nicaragua,Nicaragua,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","earthy, dried fruit, complex"
387,Letterpress,U.S.A.,2014,Peru,Maranura,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, sticky, cocoa"
388,Castronovo,U.S.A.,2014,Colombia,"Arauca, batch 280",0.76,High percent,3,3,3.5,Mid-level,"B,S,C","caramel, sweet, delicate"
391,Fresh Coast aka Just Good Choc.,U.S.A.,2014,Belize,Belize,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","spice, fatty, mild cocoa"
392,Fresh Coast aka Just Good Choc.,U.S.A.,2014,Madagascar,Madagascar,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","strong fruit, ham, deep cocoa"
393,Fresh Coast aka Just Good Choc.,U.S.A.,2014,Peru,Peru,0.7,Mid percent,2,2,4.0,Highest,"B,S","banana, yogurt, cocoa"
399,Fresco,U.S.A.,2014,Peru,"Maranon, #228, MR, SC",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","light color, leathery flavor"
400,Fresco,U.S.A.,2014,Peru,"Maranon, #227, LR, MC",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","orange, mellow but flavorful"
401,Fresco,U.S.A.,2014,Peru,"Maranon, #229, MR, LC",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","fruity, floral, caramel"
402,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","spicy, candied, complex"
403,Fresco,U.S.A.,2014,Peru,"Maranon, #230, DR, LC",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","slow develop, caramel, roasty"
405,Potomac,U.S.A.,2014,Venezuela,"Cuyagua, 2013",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","mildy nutty, cocoa, spice"
406,Dandelion,U.S.A.,2014,Dominican Republic,"San Francisco de Macoris, Cibao region",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","cherry, rich choco"
411,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa E, 2014",0.65,Mid percent,4,4,3.25,Mid-level,"B,S,C,V","sweet, candy-like, nutty"
412,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa E, 2014",0.75,High percent,4,4,3.75,Mid-level,"B,S,C,V","dairy, pudding"
413,Somerville,U.S.A.,2014,U.S.A.,"Hawai'i Island, Big Island",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, tannic, choco, earthy"
419,Nathan Miller,U.S.A.,2014,Peru,Peru,0.72,Mid percent,2,2,2.25,Lowest,"B,S","metallic, medicinal, pungent"
420,Nathan Miller,U.S.A.,2014,Dominican Republic,Hispaniola,0.7,Mid percent,2,2,2.5,Mid-level,"B,S*","grassy, dirt, mild spice"
421,Nathan Miller,U.S.A.,2014,Madagascar,Madagascar,0.735,Mid percent,2,2,2.5,Mid-level,"B,S","intense, pungent, sour fruit"
422,Nathan Miller,U.S.A.,2014,Ghana,Ghana,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","brownie, toffee"
423,Castronovo,U.S.A.,2014,Dominican Republic,Elvesia P.,0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","soapy, earthy"
427,Askinosie,U.S.A.,2007,Mexico,Xoconusco,0.75,High percent,2,2,2.5,Mid-level,"B,S","leather, black licorice, off"
442,Kto,U.S.A.,2014,Peru,San Martin,0.72,Mid percent,2,2,2.5,Mid-level,"B,S","intense, pungent, tangy"
443,Kto,U.S.A.,2014,Venezuela,Ocumare,0.72,Mid percent,3,3,2.75,Mid-level,"B,S,C","nutty, pungent, sour"
444,Kto,U.S.A.,2014,Belize,Belize,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","nutty, sour milk"
445,Kto,U.S.A.,2014,Madagascar,Sambirano Valley,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","strawberry, intense, sour"
446,Kto,U.S.A.,2014,Belize,Belize,0.9,High percent,2,2,3.25,Mid-level,"B,S","intense, spicy, pungent"
447,Kto,U.S.A.,2014,Dominican Republic,Elvesia ,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","spicy, molasses, earthy"
448,Kto,U.S.A.,2014,Dominican Republic,ROIG,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","earthy, fatty, tea"
450,Maverick,U.S.A.,2014,Peru,Tumbes,0.82,High percent,2,2,3.25,Mid-level,"B,S","intense, burnt, bitter, spice"
451,Maverick,U.S.A.,2014,Peru,"Morropon, Norandiono Coop, Piura",0.63,Mid percent,3,3,3.5,Mid-level,"B,S,C","sweet, cherry, cream, raisin"
460,Undone,U.S.A.,2014,Nicaragua,Matagalpa,0.74,Mid percent,2,2,2.75,Mid-level,"B,S","creamy, woody,green, rubber"
461,Undone,U.S.A.,2014,Dominican Republic,"San Francisco de Macoris, Nourish",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","tart, tangy, mild cocoa"
466,Mana,U.S.A.,2015,Ecuador,"Ecuador, batch 1212",0.74,Mid percent,2,2,2.5,Mid-level,"B,S","soil, wet, off notes"
468,Rogue,U.S.A.,2015,Venezuela,"Caranero, Choc. Garage Exclusive",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","deep, rich, nutty, roasty"
469,Dandelion,U.S.A.,2015,Belize,"Maya Mtn., Break Bar- Snark",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","intense, roasty, coffee, raisin"
470,Mast Brothers,U.S.A.,2015,Guatemala,Guatemala,0.76,High percent,2,2,3.0,Mid-level,"B,S","mild bitter, citrus, intense"
471,Mast Brothers,U.S.A.,2015,Tanzania,Tanzania,0.74,Mid percent,2,2,3.25,Mid-level,"B,S","green, vegetal, mild spice"
472,Shark Mountain,U.S.A.,2015,Jamaica,Jamaica,0.72,Mid percent,2,2,3.25,Mid-level,"B,S","sticky, dried fruit, smoke"
473,Shark Mountain,U.S.A.,2015,Papua New Guinea,Papua New Guinea,0.73,Mid percent,2,2,3.5,Mid-level,"B,S","chewy, smoke, fruit, cocoa"
478,Nuance,U.S.A.,2015,Ghana,"Ghana, 2013, batch 3581",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","rich, cherry, smoke, cocoa"
479,Peppalo,U.S.A.,2015,Dominican Republic,Dominican Republic,0.82,High percent,3,3,3.0,Mid-level,"B,S,C","coarse, earthy, sweet"
482,Sjolinds,U.S.A.,2015,Ghana,Ghana,0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,V","sweet, vanilla, cocoa, mold"
486,hello cocoa (now Markham & Fitz),U.S.A.,2015,Uganda,Uganda,0.57,Low percent,3,3,2.75,Mid-level,"B,S,C","too sweet, spicy, candied"
487,Nuance,U.S.A.,2015,Ecuador,"Ecuador, 2013",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","earthy, roasted nuts"
488,Nuance,U.S.A.,2015,Venezuela,"Canoabo, 2013, batch 2642",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","intense, slightly burnt"
489,Nuance,U.S.A.,2015,Madagascar,"Sambirano Valley, 2012, batch 3062",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","fruity, sour, high astringent"
490,Violet Sky,U.S.A.,2015,Madagascar,Sambirano Valley,0.77,High percent,2,2,2.75,Mid-level,"B,S","intense, tart, sour, raisin"
491,Violet Sky,U.S.A.,2015,Belize,Moho River Valley,0.77,High percent,2,2,3.0,Mid-level,"B,S","mild metallic, brownie, earth"
492,Violet Sky,U.S.A.,2015,Venezuela,Cuyagua,0.77,High percent,2,2,3.0,Mid-level,"B,S","intense, mild bitter, roasty"
493,Violet Sky,U.S.A.,2015,Peru,Peru,0.77,High percent,2,2,3.25,Mid-level,"B,S","chalky, peach, bland"
494,hello cocoa (now Markham & Fitz),U.S.A.,2015,Venezuela,Venezuela,0.74,Mid percent,3,3,3.5,Mid-level,"B,S,C","sandy, sweet, mild fruit"
495,Muchomas (Mesocacao),U.S.A.,2015,Nicaragua,Nicaragua,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","grassy, spicy, sweet"
496,Muchomas (Mesocacao),U.S.A.,2015,Nicaragua,Nicaragua,0.8,High percent,3,3,3.5,Mid-level,"B,S,C","sweet, rich "
497,Sjolinds,U.S.A.,2015,Nicaragua,"Nicaragua, lot N510",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","mild, nutty, vanilla, cocoa"
498,Brasstown aka It's Chocolate,U.S.A.,2015,Dominican Republic,"Conacado, batch 001515",0.68,Mid percent,3,3,3.75,Mid-level,"B,S,C","complex, brownie, lime, rich"
499,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",0.7,Mid percent,2,2,3.75,Mid-level,"B,S",yellow fruit
506,Ritual,U.S.A.,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, b. 001",0.85,High percent,2,2,3.5,Mid-level,"B,S","mild bitter, woody, bourbon"
507,Ritual,U.S.A.,2015,Blend,"Mid Mountain, 2014, batch 002",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","sticky, woody"
508,Shark Mountain,U.S.A.,2015,Venezuela,Cuyagua,0.77,High percent,2,2,2.75,Mid-level,"B,S","smoked ham, tangy, berry"
509,Shark Mountain,U.S.A.,2015,Dominican Republic,ROIG,0.74,Mid percent,2,2,3.5,Mid-level,"B,S","grapes, tangy, cocoa"
510,Guittard,U.S.A.,2007,Blend,Quetzalcoatl,0.72,Mid percent,5,5,3.5,Mid-level,"B,S,C,V,L","creamy,sandy,nutmeg, moss"
515,Amano,U.S.A.,2007,Venezuela,Cuyagua,0.7,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","waxy, nutty, mint"
516,Nuance,U.S.A.,2015,Dominican Republic,La Red,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","rich, mild smoke, red fruit"
517,Vicuna,U.S.A.,2015,Bolivia,Palos Blancos,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","peanut butter, coffee, mint"
518,Vicuna,U.S.A.,2015,Bolivia,Palos Blancos + nibs,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","complex, nibs too soft"
519,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","intense, nutty, cherry, cocoa"
520,Map Chocolate,U.S.A.,2015,Dominican Republic,"ROIG, 2014",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","fruity, tangy, cocoa"
521,Map Chocolate,U.S.A.,2015,Peru,"Maranon, 2014",0.62,Mid percent,3,3,3.5,Mid-level,"B,S,C","delicate, caramel, peanut"
524,Map Chocolate,U.S.A.,2015,Ecuador,Ecuador,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","coarse, floral, rum"
525,Terroir,U.S.A.,2015,Peru,Peru,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","spicy, black pepper, intense"
526,Terroir,U.S.A.,2015,Belize,Belize,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","nutty, raspberry, metallic"
527,Terroir,U.S.A.,2015,Madagascar,Madagascar,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","bright fruit, mild sour"
528,Terroir,U.S.A.,2015,Ecuador,Ecuador,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","floral, earthy, bourbon"
529,Bisou,U.S.A.,2015,Nicaragua,"Nicaragua, American style",0.76,High percent,2,2,2.5,Mid-level,"B,S","bitter, molasses, flour"
532,Bisou,U.S.A.,2015,Costa Rica,"San Andres, American style",0.76,High percent,2,2,2.5,Mid-level,"B,S","molasses, metallic, earthy"
533,Bisou,U.S.A.,2015,Costa Rica,"San Andres, silk",0.78,High percent,4,4,2.5,Mid-level,"B,S,C,V","sour, tart, molasses"
534,Bisou,U.S.A.,2015,Belize,Belize,0.86,High percent,4,4,3.25,Mid-level,"B,S,C,V","mild bitter, diluted, vanilla"
535,Cloudforest,U.S.A.,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, batch 1",0.73,Mid percent,2,2,3.5,Mid-level,"B,S","creamy, floral, bourbon"
536,Middlebury,U.S.A.,2015,Belize,Maya Mountain,0.8,High percent,3,3,3.5,Mid-level,"B,S,C","woody, lemon, mild bitter"
537,Middlebury,U.S.A.,2015,Trinidad,San Juan Estate,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","black pepper, dairy"
538,Middlebury,U.S.A.,2015,Dominican Republic,Oko Caribe,0.75,High percent,3,3,3.75,Mid-level,"B,S,C","spicy, rich, mint"
539,Middlebury,U.S.A.,2015,Venezuela,"Patanemo, Epoch, Donaldo",0.75,High percent,3,3,3.75,Mid-level,"B,S,C","nutty, grassy, woody"
549,Guittard,U.S.A.,2006,Colombia,Chucuri,0.65,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","creamy, sweet, floral, vanilla"
552,Scharffen Berger,U.S.A.,2006,Blend,Extra Dark,0.82,High percent,5,5,2.0,Lowest,"B,S,C,V,L","dry, bitter, poor aftertaste"
553,Scharffen Berger,U.S.A.,2006,Blend,Bittersweet,0.7,Mid percent,5,5,3.5,Mid-level,"B,S,C,V,L","cherry, mild bitter"
554,Love Bar,U.S.A.,2015,Nicaragua,Nicaragua,0.75,High percent,2,2,2.0,Lowest,"B,S","multiple off flavors, metallic"
557,Violet Sky,U.S.A.,2015,Guatemala,Cahabon,0.77,High percent,2,2,2.75,Mid-level,"B,S","creamy, cocoa, pungent"
558,Pitch Dark,U.S.A.,2015,Nicaragua,Tenor,0.62,Mid percent,3,3,2.5,Mid-level,"B,S,C","coarse, earthy, metal, sweet"
559,Pitch Dark,U.S.A.,2015,Nicaragua,Johe,0.8,High percent,2,2,2.75,Mid-level,"B,S","dry, sandy, earthy, leathery"
561,Dulcinea,U.S.A.,2015,Dominican Republic,"Dominican Republic, batch 1507",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","coarse, earthy, mild banana"
562,Pitch Dark,U.S.A.,2015,Nicaragua,Chuno,0.8,High percent,3,3,2.75,Mid-level,"B,S,C","metal, earthy, pungent"
563,Pitch Dark,U.S.A.,2015,Nicaragua,Nicalizo,0.8,High percent,3,3,2.75,Mid-level,"B,S,C","metal, molasses, roasty"
564,Pitch Dark,U.S.A.,2015,Nicaragua,Rugoso,0.8,High percent,2,2,3.25,Mid-level,"B,S","chunky, dairy, nutty, rich"
566,Brazen,U.S.A.,2015,Dominican Republic,Elvesia P.,0.6,Mid percent,3,3,3.0,Mid-level,"B,S,C","roasty, sweet, brownie"
567,Brazen,U.S.A.,2015,Dominican Republic,Elvesia P.,0.8,High percent,3,3,3.25,Mid-level,"B,S,C","bitter, dark berry, fatty"
568,Brazen,U.S.A.,2015,Guatemala,"Alta Verapaz, 2014, batch 69",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","tart, tea, leather, sour"
570,Sol Cacao,U.S.A.,2015,Madagascar,Madagascar,0.72,Mid percent,2,2,3.0,Mid-level,"B,S","tangy, sour, intense"
571,Brazen,U.S.A.,2015,Madagascar,Ambolikapiky P.,0.8,High percent,3,3,2.75,Mid-level,"B,S,C","bitter, tart, acidic"
572,Brazen,U.S.A.,2015,Belize,Maya Mountain,0.8,High percent,3,3,3.25,Mid-level,"B,S,C","mild smoke, raisins, coffee"
573,Brazen,U.S.A.,2015,Madagascar,Ambolikapkly P.,0.6,Mid percent,3,3,3.25,Mid-level,"B,S,C","citrus, sweet, cocoa"
574,Manoa,U.S.A.,2015,Papua New Guinea,Markham Valley,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","smoke, fruit"
575,Manoa,U.S.A.,2015,Costa Rica,Coto Brus,0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C","dried fruit, balanced, cocoa"
576,Chocovivo,U.S.A.,2015,Mexico,Tabasco,0.65,Mid percent,2,2,2.5,Mid-level,"B,S","coarse, sweet, sour, leathery"
577,Chocovivo,U.S.A.,2015,Mexico,Tabasco,0.75,High percent,2,2,2.5,Mid-level,"B,S","gritty, mild bitter, off notes"
578,Nibble,U.S.A.,2015,Venezuela,Patanemo,0.72,Mid percent,2,2,2.25,Lowest,"B,S","molasses, nut, roasty, bitter"
579,Nibble,U.S.A.,2015,Dominican Republic,Elvesia P.,0.72,Mid percent,2,2,2.75,Mid-level,"B,S","molasses, rum, tea"
580,Nibble,U.S.A.,2015,Madagascar,"Ambanja, Sambirano Valley",0.72,Mid percent,2,2,3.0,Mid-level,"B,S","molasses, bright fruit"
581,Nibble,U.S.A.,2015,Peru,Tumbes,0.72,Mid percent,2,2,3.0,Mid-level,"B,S","molasses, malt, raisin"
583,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",1.0,Completely Cocoa,3,3,2.0,Lowest,,"bland, mild fruit, strong bitter"
584,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",0.9,High percent,3,3,2.0,Lowest,,"some fruit, strong bitter"
585,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",0.75,High percent,3,3,3.0,Mid-level,,"cocoa,earthy,very astringent"
586,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2007",0.65,Mid percent,3,3,3.0,Mid-level,"B,S,C","sticky, cocoa, earthy"
591,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","creamy, rich, rum, roasty"
592,Arete,U.S.A.,2015,Peru,Nacional,0.68,Mid percent,2,2,3.5,Mid-level,"B,S","floral, nutty, rich cocoa"
593,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","spicy, cocoa"
596,Middlebury,U.S.A.,2015,Tanzania,Kokoa Kamili,0.75,High percent,3,3,3.25,Mid-level,"B,S,C","banana, melon, fatty"
597,Middlebury,U.S.A.,2015,Nicaragua,"Matagalpa, Cacao Bisiesto",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","rum, herbal, rich"
600,Izard,U.S.A.,2015,Belize,"Maya Mountain, Toledo, Batch 29",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, cherry, rich, metallic"
601,Parliament,U.S.A.,2015,Guatemala,"Lachua, Q'egchi families",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, blackberry, acidic"
603,hexx,U.S.A.,2015,Tanzania,Tanzania,0.7,Mid percent,2,2,2.75,Mid-level,"B,S*","intense, palm, earthy"
604,hexx,U.S.A.,2015,Madagascar,Madagascar,0.74,Mid percent,2,2,3.0,Mid-level,"B,S*","sandy, tart, tangy, palm"
605,hexx,U.S.A.,2015,Venezuela,Venezuela,0.7,Mid percent,2,2,3.0,Mid-level,"B,S*","intense, palm, nutty"
606,Izard,U.S.A.,2015,Dominican Republic,"Elvesia P., Batch 32",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","intense, molasses, fruit"
607,hexx,U.S.A.,2015,Ecuador,Ecuador,0.73,Mid percent,2,2,3.25,Mid-level,"B,S*","floral, palm, sour"
608,hexx,U.S.A.,2015,Peru,Peru,0.7,Mid percent,2,2,3.25,Mid-level,"B,S*","palm, spicy, flour"
609,Dark Forest,U.S.A.,2015,Madagascar,Madagascar,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","sweet, strong sour, acidic"
610,Dark Forest,U.S.A.,2015,Venezuela,Ocumare,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","roasty, nutty, sweet"
611,Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, smokey, dried fruit"
612,Terroir,U.S.A.,2015,Dominican Republic,Oko Caribe,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","spicy, black pepper, bold"
613,Dark Forest,U.S.A.,2015,Tanzania,Tanzania,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","intense, sweet, brownie"
614,Dark Forest,U.S.A.,2015,Ecuador,Ecuador,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","bold, floral, rum"
617,Ranger,U.S.A.,2015,Peru,"San Martin, Batch 2",0.7,Mid percent,2,2,2.5,Mid-level,"B,S","oily, intense vinegar"
618,Terroir,U.S.A.,2015,Guatemala,Guatemala,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","walnuts, cocoa, easy melt"
619,Letterpress,U.S.A.,2015,Bolivia,Beniamo,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","dried fruit, nutty, mushroom"
620,Letterpress,U.S.A.,2015,Trinidad,"San Juan Estate, Gran Couva",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","cocoa, spice, fruit"
621,Ranger,U.S.A.,2015,Peru,"Chulucanas, Batch 1",0.8,High percent,2,2,3.25,Mid-level,"B,S","fruity, melon"
622,Ranger,U.S.A.,2015,Peru,"Tumbes, Batch 2",0.73,Mid percent,2,2,3.5,Mid-level,"B,S","dried fruit, raisins, nutty"
623,Letterpress,U.S.A.,2015,Costa Rica,San Andres,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","roasty, black pepper, woody"
624,Letterpress,U.S.A.,2015,Dominican Republic,"La Red, Guaconejo",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","red fruit, brownie"
625,Letterpress,U.S.A.,2015,Tanzania,Kokoa Kamili,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","subtle, spicy, banana"
626,Rogue,U.S.A.,2015,Bolivia,"Tranquilidad, Batch 1",0.75,High percent,2,2,3.25,Mid-level,"B,S","roasty, dried fruit, sour"
631,Castronovo,U.S.A.,2015,Honduras,"the lost city, gracias a dias, batch 362",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","roasty, black pepper, nutty"
632,Castronovo,U.S.A.,2015,Dominican Republic,"Duarte, Batch 360",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","med roast, grassy, dried fruit"
635,Zak's,U.S.A.,2015,Papua New Guinea,"Papua New Guinea, Batch 2",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","heavy smoke, fruit, ham"
636,Castronovo,U.S.A.,2015,Venezuela,"Piaroa, Amazonas, Batch 350",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","nutty, floral, roasty"
637,Zak's,U.S.A.,2015,Dominican Republic,"Dominican Republic, Batch D2",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","nutty, earthy, hammy"
638,Zak's,U.S.A.,2015,Madagascar,"Madagascar, Batch 2",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, mild sour, mild fruit"
639,Zak's,U.S.A.,2015,Peru,"Peru, Batch 1",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, nutty, mocha"
640,Zak's,U.S.A.,2015,Belize,"Belize, Batch 2",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich base cocoa, sweet"
641,Zak's,U.S.A.,2015,Blend,"House Blend, Batch 2",0.6,Mid percent,3,3,3.0,Mid-level,"B,S,C","very sweet, heavy roast, nuts"
654,Ohiyo,U.S.A.,2015,Trinidad,"San Juan Estate, Gran Couva",0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","off notes, sour, roasty"
657,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","spicy, brownie, nutty"
658,Arete,U.S.A.,2015,Belize,Maya Mountain,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","floral, strawberry, metallic"
659,Arete,U.S.A.,2015,Nicaragua,Chuno,0.7,Mid percent,2,2,4.0,Highest,"B,S","creamy,sticky, peanut butter"
660,Ohiyo,U.S.A.,2015,Tanzania,Tanzania,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","sweet,sandy, fruit, pungent"
661,Guittard,U.S.A.,2015,Blend,"Epique, Blend No. 49",0.7,Mid percent,5,5,3.75,Mid-level,"B,S,C,V,L","nutty, black licorice"
662,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.75,High percent,2,2,2.75,Mid-level,"B,S","floral, chemical off"
663,Arete,U.S.A.,2015,Guatemala,Guatemala,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","strawberry, butterscotch, off"
664,Arete,U.S.A.,2015,Ecuador,Camino Verde,0.75,High percent,3,3,3.5,Mid-level,"B,S,C","intense, floral, bourbon"
665,Map Chocolate,U.S.A.,2015,Trinidad,"San Juan Estate, Cherry Blossoms at Night",0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","heavy roast, few grits, rich"
666,Map Chocolate,U.S.A.,2015,Nicaragua,"A case of the Xerces Blues, triple roast",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich, bright fruit"
667,Map Chocolate,U.S.A.,2015,Peru,"Tumbes, Dear Mr. Finley, 2014",0.68,Mid percent,3,3,3.5,Mid-level,"B,S,C","lemon, spicy, cocoa"
669,Map Chocolate,U.S.A.,2015,Colombia,Colombia,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","roasty, coffee, rubber"
670,Map Chocolate,U.S.A.,2015,Tanzania,"Kakoa Kamili, Both Man & Bird & Beast",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","sweet, fatty, roasty"
673,Molucca,U.S.A.,2015,Dominican Republic,La Red,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","overly intense, tart, red fruit"
677,Molucca,U.S.A.,2015,Indonesia,Indonesia,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","intense, smokey, floral"
678,Molucca,U.S.A.,2015,Peru,Peru,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","dry, nutty, fruity"
682,Theo,U.S.A.,2007,Madagascar,Madagascar,0.65,Mid percent,3,3,3.5,Mid-level,"B,S,C","sandy, sweet, blueberry"
690,Durci,U.S.A.,2015,Peru,"Maranon, Joya Rara",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","sandy, orange, butterscotch"
691,Durci,U.S.A.,2015,Venezuela,"Rio Caribe, Tepui Treasure",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","fatty, roasty, intense brownie"
692,Condor,U.S.A.,2015,Ecuador,Camino Verde,0.76,High percent,2,2,3.5,Mid-level,"B,S","bold, roasty, sticky, brownie"
693,Durci,U.S.A.,2015,Dominican Republic,Taino Secret,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","dates, acidic, rich cocoa"
694,Durci,U.S.A.,2015,Venezuela,"Carenero, Empyrean Sabor",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","cherry, earthy, tobacco"
695,Durci,U.S.A.,2015,Ecuador,Corona Arriba,0.7,Mid percent,3,3,4.0,Highest,"B,S,C",blackberry and cinnamon
